variable,auc,mutual_info,mw_effect,mw_pvalue,boruta,rank_auc,rank_mutual_info,rank_boruta,rank_mw_pvalue,mean_rank,overall_rank
V486,0.5047996305834886,0.010217370040500828,0.009599261166977291,0.5566888658001861,463,302.0,53.0,489.5,302.0,211.26417221645005,286
V157,0.5053594834824995,0.0,0.010718966964998966,0.5116138776833907,160,280.0,378.5,186.5,280.0,211.37790346942086,287
V132,0.5041560957564463,0.0,0.00831219151289253,0.6107810057257622,100,340.0,378.5,126.5,340.0,211.40269525143145,288
V461,0.5062468639277449,0.005958681447290504,0.012493727855489745,0.44427383945156573,450,252.0,119.0,476.0,252.0,211.8610684598629,289
V64,0.5079445030413501,0.0,0.015889006082700163,0.3306077556538063,256,190.0,378.5,282.0,190.0,212.70765193891344,290
V485,0.5069105592192844,0.001339150320522231,0.013821118438568814,0.39740056513579824,382,226.0,222.0,408.0,226.0,214.09935014128394,291
V433,0.5068614380875336,0.0018667876548084106,0.013722876175067178,0.4007640764394127,396,231.0,203.0,422.5,231.0,214.22519101910984,292
V399,0.5054076445921314,0.0,0.010815289184262777,0.5078272592770696,175,277.0,378.5,201.0,277.0,214.25195681481927,293
V149,0.5063087853544146,0.0,0.012617570708829184,0.43977152005707976,203,250.0,378.5,229.0,250.0,214.48494288001427,294
V419,0.5043789808917197,0.0,0.00875796178343946,0.5917832677397379,125,331.0,378.5,151.0,331.0,215.27294581693494,295
V8,0.5082414698834661,0.0,0.01648293976693227,0.31285127736374674,280,177.0,378.5,306.5,177.0,215.57821281934093,296
V294,0.5099584694431359,0.0,0.019916938886271884,0.22264596370151657,337,121.0,378.5,363.5,121.0,215.8056614909254,297
V246,0.5092750936981588,0.0,0.01855018739631764,0.25602534149402,315,143.0,378.5,341.5,143.0,215.8140063353735,298
V230,0.5090061275011777,0.0,0.01801225500235515,0.27007152555676295,308,150.0,378.5,334.5,150.0,215.8175178813892,299
V122,0.5035614420556249,0.0014697137277035477,0.007122884111249839,0.6627372227209387,263,358.0,216.0,289.5,358.0,216.04068430568023,300
V91,0.5056847709771233,0.0016103064072976458,0.011369541954246665,0.4863275222799749,360,266.0,212.0,386.0,266.0,216.12158188056998,301
V95,0.5055755684610974,0.0,0.011151136922194715,0.494740342211591,189,271.0,378.5,215.0,271.0,216.2486850855529,302
V228,0.5028027845761567,0.0023163332201820985,0.00560556915231325,0.731424438552679,268,381.0,190.0,294.0,381.0,216.43285610963818,303
V225,0.5033730377147889,0.0007483349027099795,0.006746075429577947,0.6795589910613455,240,362.0,238.0,266.0,362.0,216.66988974776532,304
V203,0.5100045505048436,0.0,0.020009101009687225,0.22051284544574357,343,120.0,378.5,369.0,120.0,216.93012821136142,305
V405,0.5041754562025109,0.0,0.008350912405021838,0.6091201168950703,127,337.5,378.5,153.0,337.5,217.40228002922376,306
V104,0.5079825839187335,0.0,0.015965167837467042,0.3282950278787138,277,189.0,378.5,303.5,189.0,217.8320737569697,307
V357,0.5043879410981629,0.0002252056746971931,0.008775882196325746,0.5910252439518621,267,330.0,249.0,293.0,330.0,218.14775631098797,308
V254,0.5017280398140374,0.006953800494909457,0.003456079628074593,0.832405696424362,326,428.0,94.0,352.0,428.0,218.7081014241061,309
V468,0.5055495678620435,0.0,0.01109913572408705,0.49675479877958684,198,272.0,378.5,224.0,272.0,218.74918869969488,310
V338,0.5047657098019538,0.0,0.009531419603907687,0.5594808589368981,167,304.0,378.5,193.0,304.0,219.01487021473423,311
V192,0.5092146123046675,0.0,0.01842922460933505,0.2591387532509577,332,144.0,378.5,358.0,144.0,220.18978468831273,312
V151,0.5074956927007599,0.0003499558918000911,0.014991385401519675,0.3586561661460552,399,209.0,247.0,425.0,209.0,220.3396640415365,313
V14,0.5047937104470888,0.00315867141690096,0.009587420894177412,0.5571756580654301,385,303.0,170.0,411.0,303.0,221.13929391451637,314
V302,0.5110421744116984,0.0,0.022084348823396938,0.17630051766150767,382,98.0,378.5,408.0,98.0,221.16907512941538,315
V10,0.508322911759887,0.0,0.01664582351977395,0.3080934606166693,306,174.0,378.5,332.5,174.0,221.32702336515416,316
V467,0.5047250688655867,0.007681555211812796,0.009450137731173314,0.5628349037372254,466,307.0,86.0,492.0,307.0,221.3907087259343,317
V153,0.5112536192833883,0.0,0.02250723856677661,0.16816390586003482,387,95.0,378.5,413.5,95.0,221.792040976465,318
V117,0.5001788841214903,0.0,0.0003577682429802831,0.9825227008033454,1,495.0,378.5,14.0,495.0,222.12063067520083,319
V1,0.507685137065558,0.0,0.015370274131115913,0.34663913010618785,282,203.0,378.5,308.5,203.0,222.58665978252654,320
V495,0.502214611024638,0.0014563823901383444,0.004429222049275983,0.7862348243279764,244,403.0,218.0,270.5,403.0,223.071558706082,321
V158,0.508412673828005,0.0,0.01682534765600996,0.30290532313256857,324,169.0,378.5,350.5,169.0,224.57572633078314,322
V367,0.5039386507465131,0.0,0.007877301493026345,0.6295712248032248,149,347.0,378.5,175.0,347.0,225.28239280620082,323
V339,0.5016320376021464,0.004551768185114158,0.003264075204292727,0.841589542321502,302,433.0,142.0,328.0,433.0,225.96039738558036,324
V285,0.508230909640158,0.0007137758712700837,0.016461819280316203,0.3134717295128321,460,179.0,240.0,486.0,179.0,226.32836793237823,325
V352,0.5039872918672046,0.0,0.00797458373440929,0.6253465155168885,158,344.0,378.5,184.0,344.0,226.78133662887922,326
