k,kind,model,cv_score,features,best_params,accuracy,balanced_accuracy,precision
5,top,RandomForest,195.0,"['V255', 'V191', 'V176', 'V380', 'V160']","{'clf__max_depth': 8, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 323}",0.6453333333333334,0.6449687092707134,0.6695324343415905
5,top,LightGBM,190.0,"['V255', 'V191', 'V176', 'V380', 'V160']","{'clf__learning_rate': np.float64(0.018618814067432626), 'clf__max_depth': 6, 'clf__n_estimators': 484, 'clf__num_leaves': 15, 'clf__subsample': np.float64(0.8804927450629726)}",0.6343333333333333,0.6341823588827061,0.6412841087402468
4,top+1,LogRegl1,185.0,"['V191', 'V176', 'V380', 'V160']",{'clf__C': np.float64(0.041924993150460804)},0.5579999999999999,0.557946020605028,0.5572243162147461
4,top+1,LogRegl2,185.0,"['V191', 'V176', 'V380', 'V160']",{'clf__C': np.float64(0.041924993150460804)},0.5523333333333333,0.552283856394417,0.5511814365133954
4,rand_2,LightGBM,185.0,"[np.str_('V191'), np.str_('V160'), np.str_('V11'), np.str_('V212')]","{'clf__learning_rate': np.float64(0.018618814067432626), 'clf__max_depth': 6, 'clf__n_estimators': 484, 'clf__num_leaves': 15, 'clf__subsample': np.float64(0.8804927450629726)}",0.5763333333333334,0.5760537942414935,0.5842992336880674
5,top+1,RandomForest,180.0,"['V191', 'V176', 'V380', 'V160', 'V416']","{'clf__max_depth': 8, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 323}",0.6243333333333334,0.6238788246781958,0.651493028229476
4,rand_1,XGBoost,175.0,"[np.str_('V380'), np.str_('V416'), np.str_('V377'), np.str_('V175')]","{'clf__colsample_bytree': np.float64(0.6829964000433091), 'clf__learning_rate': np.float64(0.10365965539088552), 'clf__max_depth': 3, 'clf__n_estimators': 323, 'clf__subsample': np.float64(0.7628354029927442)}",0.5723333333333332,0.5722716365634729,0.5725445803258937
5,top+2,RandomForest,165.0,"['V176', 'V380', 'V160', 'V416', 'V224']","{'clf__max_depth': 4, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 403}",0.6116666666666667,0.6111726009378801,0.6386975363719549
4,rand_0,ExtraTrees,160.0,"[np.str_('V191'), np.str_('V224'), np.str_('V377'), np.str_('V221')]","{'clf__max_depth': 8, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 323}",0.5693333333333334,0.5687083536748151,0.591963007654452
4,rand_0,SVM_RBF,155.0,"[np.str_('V191'), np.str_('V224'), np.str_('V377'), np.str_('V221')]","{'clf__C': np.float64(6.393794237097354), 'clf__gamma': np.float64(0.016644299518966215)}",0.5726666666666667,0.571729839142319,0.6192838654860765
4,rand_1,LightGBM,155.0,"[np.str_('V380'), np.str_('V416'), np.str_('V377'), np.str_('V175')]","{'clf__learning_rate': np.float64(0.018618814067432626), 'clf__max_depth': 6, 'clf__n_estimators': 484, 'clf__num_leaves': 15, 'clf__subsample': np.float64(0.8804927450629726)}",0.5806666666666667,0.5804605326960216,0.586023261616688
5,top+2,SVM_RBF,150.0,"['V176', 'V380', 'V160', 'V416', 'V224']","{'clf__C': np.float64(6.393794237097354), 'clf__gamma': np.float64(0.016644299518966215)}",0.6163333333333334,0.6157100993278494,0.6569663921199558
4,rand_0,RandomForest,135.0,"[np.str_('V191'), np.str_('V224'), np.str_('V377'), np.str_('V221')]","{'clf__max_depth': 5, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 367}",0.5710000000000001,0.5703183985162193,0.5976044942821263
5,top+2,GradientBoosting,120.0,"['V176', 'V380', 'V160', 'V416', 'V224']","{'clf__learning_rate': np.float64(0.018618814067432626), 'clf__max_depth': 2, 'clf__n_estimators': 164, 'clf__subsample': np.float64(0.8804927450629726)}",0.6096666666666666,0.6092879522652346,0.6283723552314008
5,top+2,XGBoost,120.0,"['V176', 'V380', 'V160', 'V416', 'V224']","{'clf__colsample_bytree': np.float64(0.7655331788949136), 'clf__learning_rate': np.float64(0.02651034264899119), 'clf__max_depth': 5, 'clf__n_estimators': 238, 'clf__subsample': np.float64(0.8612364919499478)}",0.6113333333333334,0.6110565746539134,0.6239514764681288
3,rand_0,LightGBM,115.0,"[np.str_('V160'), np.str_('V416'), np.str_('V377')]","{'clf__learning_rate': np.float64(0.05501111167975336), 'clf__max_depth': 4, 'clf__n_estimators': 247, 'clf__num_leaves': 27, 'clf__subsample': np.float64(0.9394734067154433)}",0.5406666666666666,0.5403422766604825,0.5445452481136127
4,rand_0,GradientBoosting,115.0,"[np.str_('V191'), np.str_('V224'), np.str_('V377'), np.str_('V221')]","{'clf__learning_rate': np.float64(0.018618814067432626), 'clf__max_depth': 2, 'clf__n_estimators': 164, 'clf__subsample': np.float64(0.8804927450629726)}",0.5763333333333334,0.5756973377592951,0.6042238823144053
3,rand_0,XGBoost,105.0,"[np.str_('V160'), np.str_('V416'), np.str_('V377')]","{'clf__colsample_bytree': np.float64(0.7655331788949136), 'clf__learning_rate': np.float64(0.02651034264899119), 'clf__max_depth': 5, 'clf__n_estimators': 238, 'clf__subsample': np.float64(0.8612364919499478)}",0.5343333333333334,0.5340747435630383,0.5362998027070084
4,top+2,LogRegl1,90.0,"['V176', 'V380', 'V160', 'V416']",{'clf__C': np.float64(2.197148278547012)},0.544,0.5439182288052676,0.5431501498526892
5,top+2,LightGBM,90.0,"['V176', 'V380', 'V160', 'V416', 'V224']","{'clf__learning_rate': np.float64(0.018618814067432626), 'clf__max_depth': 6, 'clf__n_estimators': 484, 'clf__num_leaves': 15, 'clf__subsample': np.float64(0.8804927450629726)}",0.6086666666666667,0.6084591467464917,0.6167000713278272
4,rand_0,LogRegl2,90.0,"[np.str_('V191'), np.str_('V224'), np.str_('V377'), np.str_('V221')]",{'clf__C': np.float64(0.041924993150460804)},0.5393333333333333,0.5392698013883861,0.5380991399460493
4,rand_0,LogRegl1,90.0,"[np.str_('V191'), np.str_('V224'), np.str_('V377'), np.str_('V221')]",{'clf__C': np.float64(2.197148278547012)},0.5386666666666667,0.5386084441395235,0.5374065104501856
4,top+2,LogRegl2,85.0,"['V176', 'V380', 'V160', 'V416']",{'clf__C': np.float64(0.041924993150460804)},0.5443333333333333,0.544250220783326,0.5435093713059896
6,top+1,ExtraTrees,80.0,"['V191', 'V176', 'V380', 'V160', 'V416', 'V224']","{'clf__max_depth': 8, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 323}",0.6276666666666667,0.6271742576868139,0.6598530174237041
4,rand_2,LogRegl1,75.0,"[np.str_('V191'), np.str_('V160'), np.str_('V11'), np.str_('V212')]",{'clf__C': np.float64(0.6393794237097356)},0.5496666666666666,0.5496113402677845,0.5483773029227574
4,rand_2,LogRegl2,70.0,"[np.str_('V191'), np.str_('V160'), np.str_('V11'), np.str_('V212')]",{'clf__C': np.float64(2.197148278547012)},0.5483333333333333,0.5482853258384647,0.5468183433321764
6,top,GradientBoosting,70.0,"['V255', 'V191', 'V176', 'V380', 'V160', 'V416']","{'clf__learning_rate': np.float64(0.05501111167975336), 'clf__max_depth': 3, 'clf__n_estimators': 147, 'clf__subsample': np.float64(0.6281833256741867)}",0.6469999999999999,0.6468380618199693,0.6562607499140007
6,top,XGBoost,65.0,"['V255', 'V191', 'V176', 'V380', 'V160', 'V416']","{'clf__colsample_bytree': np.float64(0.6829964000433091), 'clf__learning_rate': np.float64(0.10365965539088552), 'clf__max_depth': 3, 'clf__n_estimators': 323, 'clf__subsample': np.float64(0.7628354029927442)}",0.6266666666666666,0.6265329303061596,0.632114152828159
6,top,ExtraTrees,60.0,"['V255', 'V191', 'V176', 'V380', 'V160', 'V416']","{'clf__max_depth': 5, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 367}",0.6533333333333333,0.6528882429325688,0.6877865420754548
6,top,SVM_RBF,55.0,"['V255', 'V191', 'V176', 'V380', 'V160', 'V416']","{'clf__C': np.float64(6.393794237097354), 'clf__gamma': np.float64(0.016644299518966215)}",0.6553333333333333,0.6548162328189324,0.6973684280555807
3,rand_0,LogRegl1,55.0,"[np.str_('V160'), np.str_('V416'), np.str_('V377')]",{'clf__C': np.float64(0.041924993150460804)},0.5216666666666667,0.5206298826726828,0.5533056765933478
4,rand_0,XGBoost,50.0,"[np.str_('V191'), np.str_('V224'), np.str_('V377'), np.str_('V221')]","{'clf__colsample_bytree': np.float64(0.6829964000433091), 'clf__learning_rate': np.float64(0.10365965539088552), 'clf__max_depth': 3, 'clf__n_estimators': 323, 'clf__subsample': np.float64(0.7628354029927442)}",0.5670000000000001,0.566898269951504,0.5677848003845595
3,rand_0,LogRegl2,45.0,"[np.str_('V160'), np.str_('V416'), np.str_('V377')]",{'clf__C': np.float64(0.041924993150460804)},0.5243333333333334,0.5240320081092459,0.5261137504280581
5,rand_2,RandomForest,40.0,"[np.str_('V380'), np.str_('V224'), np.str_('V11'), np.str_('V175'), np.str_('V212')]","{'clf__max_depth': 5, 'clf__min_samples_leaf': 9, 'clf__n_estimators': 367}",0.5826666666666666,0.58219133196592,0.6015506889508372
5,rand_2,GradientBoosting,35.0,"[np.str_('V380'), np.str_('V224'), np.str_('V11'), np.str_('V175'), np.str_('V212')]","{'clf__learning_rate': np.float64(0.018618814067432626), 'clf__max_depth': 2, 'clf__n_estimators': 164, 'clf__subsample': np.float64(0.8804927450629726)}",0.5823333333333333,0.581821979389132,0.6035004997259567
5,rand_2,SVM_RBF,35.0,"[np.str_('V380'), np.str_('V224'), np.str_('V11'), np.str_('V175'), np.str_('V212')]","{'clf__C': np.float64(6.393794237097354), 'clf__gamma': np.float64(0.016644299518966215)}",0.5926666666666667,0.59191685770899,0.6352723869347082
5,top,LogRegl1,30.0,"['V255', 'V191', 'V176', 'V380', 'V160']",{'clf__C': np.float64(0.041924993150460804)},0.5666666666666667,0.5666062255973658,0.5660446564612794
5,top,LogRegl2,25.0,"['V255', 'V191', 'V176', 'V380', 'V160']",{'clf__C': np.float64(0.041924993150460804)},0.556,0.5559573421602276,0.5546911663814024
6,top+1,SVM_RBF,25.0,"['V191', 'V176', 'V380', 'V160', 'V416', 'V224']","{'clf__C': np.float64(6.393794237097354), 'clf__gamma': np.float64(0.016644299518966215)}",0.6323333333333334,0.6317097084556416,0.6785503228157866
4,rand_0,LightGBM,25.0,"[np.str_('V191'), np.str_('V224'), np.str_('V377'), np.str_('V221')]","{'clf__learning_rate': np.float64(0.05501111167975336), 'clf__max_depth': 4, 'clf__n_estimators': 247, 'clf__num_leaves': 27, 'clf__subsample': np.float64(0.9394734067154433)}",0.556,0.5557320429034627,0.5607522829759707
