k,kind,model,cv_score,cv_score_std,features,best_params,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,precision,precision_std
6,top+1,SVM_RBF,45.0,25.495097567963924,"['V191', 'V176', 'V380', 'V160', 'V416', 'V224']","{'clf__C': np.float64(0.1984825563044797), 'clf__gamma': np.float64(0.1314194139850142)}",0.6353333333333333,0.006128258770283418,0.635117779438703,0.006034612444441101,0.6462013221184371,0.010070852485026973
3,rand_0,LogRegl2,45.0,128.64680330268607,"[np.str_('V160'), np.str_('V416'), np.str_('V377')]",{'clf__C': np.float64(0.041924993150460804)},0.5243333333333334,0.023697163449568317,0.5240320081092459,0.023593128973272197,0.5261137504280581,0.027072702289739587
5,top,LogRegl1,40.0,36.742346141747674,"['V255', 'V191', 'V176', 'V380', 'V160']",{'clf__C': np.float64(0.16644299518966227)},0.5589999999999999,0.012355835328567053,0.5589574167490449,0.012412176135411162,0.5576784371973158,0.010886384609487765
6,top+1,RandomForest,40.0,49.49747468305833,"['V191', 'V176', 'V380', 'V160', 'V416', 'V224']","{'clf__max_depth': 8, 'clf__min_samples_leaf': 7, 'clf__n_estimators': 234}",0.6263333333333333,0.013299958228840014,0.6259309777569738,0.01318297963106787,0.6498440177708266,0.018348845608699035
5,rand_1,ExtraTrees,40.0,24.49489742783178,"[np.str_('V416'), np.str_('V309'), np.str_('V11'), np.str_('V262'), np.str_('V175')]","{'clf__max_depth': 11, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 439}",0.5906666666666666,0.006236095644623242,0.5901794314278241,0.006085924286352083,0.6113859687345649,0.010742697280005417
5,rand_2,LightGBM,40.0,80.31189202104505,"[np.str_('V380'), np.str_('V224'), np.str_('V11'), np.str_('V175'), np.str_('V212')]","{'clf__learning_rate': np.float64(0.010354499341257054), 'clf__max_depth': 3, 'clf__n_estimators': 427, 'clf__num_leaves': 42, 'clf__subsample': np.float64(0.9367764923887465)}",0.5813333333333333,0.019905331502444838,0.5808820181650233,0.019928979606209485,0.598897314269189,0.019426916172749567
5,rand_2,XGBoost,35.0,70.71067811865476,"[np.str_('V380'), np.str_('V224'), np.str_('V11'), np.str_('V175'), np.str_('V212')]","{'clf__colsample_bytree': np.float64(0.9771170310658897), 'clf__learning_rate': np.float64(0.018968367710792175), 'clf__max_depth': 4, 'clf__n_estimators': 267, 'clf__subsample': np.float64(0.6482976441389584)}",0.5803333333333334,0.012918548250050746,0.5800132381942985,0.012881421446603853,0.5914492461450774,0.01556328827056551
5,rand_2,SVM_RBF,35.0,86.02325267042627,"[np.str_('V380'), np.str_('V224'), np.str_('V11'), np.str_('V175'), np.str_('V212')]","{'clf__C': np.float64(6.393794237097354), 'clf__gamma': np.float64(0.016644299518966215)}",0.5926666666666667,0.015412837362262536,0.59191685770899,0.015241873213504174,0.6352723869347082,0.028401744360938643
5,rand_2,GradientBoosting,35.0,73.824115301167,"[np.str_('V380'), np.str_('V224'), np.str_('V11'), np.str_('V175'), np.str_('V212')]","{'clf__learning_rate': np.float64(0.018618814067432626), 'clf__max_depth': 2, 'clf__n_estimators': 164, 'clf__subsample': np.float64(0.8804927450629726)}",0.5823333333333333,0.013424687043734857,0.581821979389132,0.013473068516110737,0.6035004997259567,0.009208502338269193
5,rand_1,SVM_RBF,30.0,39.370039370059054,"[np.str_('V416'), np.str_('V309'), np.str_('V11'), np.str_('V262'), np.str_('V175')]","{'clf__C': np.float64(48.01761562402178), 'clf__gamma': np.float64(0.008644104356930561)}",0.592,0.0035590260840104404,0.5913100888773604,0.00346957179466416,0.6285550492867565,0.008789750161282122
6,top,RandomForest,30.0,81.54753215150045,"['V255', 'V191', 'V176', 'V380', 'V160', 'V416']","{'clf__max_depth': 8, 'clf__min_samples_leaf': 7, 'clf__n_estimators': 401}",0.6443333333333333,0.00659966329107445,0.6440206283923872,0.0065610004793668865,0.664402491912111,0.008308437278293135
6,top,LightGBM,25.0,30.822070014844883,"['V255', 'V191', 'V176', 'V380', 'V160', 'V416']","{'clf__learning_rate': np.float64(0.011979639074434058), 'clf__max_depth': 4, 'clf__n_estimators': 415, 'clf__num_leaves': 61, 'clf__subsample': np.float64(0.8714226754962524)}",0.637,0.006976149845485456,0.6367124850344754,0.006929988549801791,0.6539842873176207,0.007807387162638554
5,top,LogRegl2,25.0,36.742346141747674,"['V255', 'V191', 'V176', 'V380', 'V160']",{'clf__C': np.float64(0.041924993150460804)},0.556,0.011575836902790201,0.5559573421602276,0.011629329390133718,0.5546911663814024,0.010289890963228762
6,top+1,LightGBM,20.0,36.742346141747674,"['V191', 'V176', 'V380', 'V160', 'V416', 'V224']","{'clf__learning_rate': np.float64(0.011979639074434058), 'clf__max_depth': 4, 'clf__n_estimators': 415, 'clf__num_leaves': 61, 'clf__subsample': np.float64(0.8714226754962524)}",0.6216666666666666,0.00654896090146284,0.6212981377212938,0.0064932555208293335,0.642031422815137,0.006591975927397698
5,rand_2,ExtraTrees,20.0,88.60022573334675,"[np.str_('V380'), np.str_('V224'), np.str_('V11'), np.str_('V175'), np.str_('V212')]","{'clf__max_depth': 6, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 238}",0.5903333333333333,0.010530379332620885,0.5897301040790609,0.010410864405183587,0.6198003013036655,0.017337032424715116
5,rand_1,XGBoost,15.0,37.416573867739416,"[np.str_('V416'), np.str_('V309'), np.str_('V11'), np.str_('V262'), np.str_('V175')]","{'clf__colsample_bytree': np.float64(0.7420988439976136), 'clf__learning_rate': np.float64(0.0108576321750405), 'clf__max_depth': 6, 'clf__n_estimators': 215, 'clf__subsample': np.float64(0.7323701126489202)}",0.5906666666666666,0.0041096093353126546,0.5903720831362688,0.004026738896747743,0.6009872480460716,0.005552000504875344
6,rand_2,ExtraTrees,10.0,37.416573867739416,"[np.str_('V255'), np.str_('V176'), np.str_('V160'), np.str_('V416'), np.str_('V262'), np.str_('V175')]","{'clf__max_depth': 6, 'clf__min_samples_leaf': 2, 'clf__n_estimators': 238}",0.6046666666666667,0.005734883511361756,0.6041816501964682,0.005756696619586156,0.630861058609922,0.011931072567232614
6,rand_0,SVM_RBF,10.0,56.568542494923804,"[np.str_('V255'), np.str_('V176'), np.str_('V160'), np.str_('V224'), np.str_('V390'), np.str_('V175')]","{'clf__C': np.float64(0.41924993150460804), 'clf__gamma': np.float64(0.21971482785470117)}",0.6196666666666667,0.008259674462242586,0.6194034149514677,0.008223613782211205,0.6325895311182416,0.00978125962878683
4,rand_1,LogRegl2,10.0,67.45368781616021,"[np.str_('V380'), np.str_('V416'), np.str_('V377'), np.str_('V175')]",{'clf__C': np.float64(0.014177255479383569)},0.5299999999999999,0.007874007874011818,0.5299266521260061,0.007795842525890389,0.5291302080808178,0.00986604336500732
4,rand_1,LogRegl1,10.0,67.45368781616021,"[np.str_('V380'), np.str_('V416'), np.str_('V377'), np.str_('V175')]",{'clf__C': np.float64(2.197148278547012)},0.5296666666666666,0.007586537784494036,0.5296006536169381,0.0075148334519412625,0.5286365272154745,0.009340496865815628
6,rand_0,GradientBoosting,-5.0,39.370039370059054,"[np.str_('V255'), np.str_('V176'), np.str_('V160'), np.str_('V224'), np.str_('V390'), np.str_('V175')]","{'clf__learning_rate': np.float64(0.018707545279571126), 'clf__max_depth': 3, 'clf__n_estimators': 316, 'clf__subsample': np.float64(0.7363207269058605)}",0.623,0.010708252269472683,0.622764195592792,0.010717199784655665,0.6343631568931299,0.009020378861023578
6,rand_0,XGBoost,-5.0,46.36809247747852,"[np.str_('V255'), np.str_('V176'), np.str_('V160'), np.str_('V224'), np.str_('V390'), np.str_('V175')]","{'clf__colsample_bytree': np.float64(0.7648277835860277), 'clf__learning_rate': np.float64(0.01723516600205961), 'clf__max_depth': 3, 'clf__n_estimators': 230, 'clf__subsample': np.float64(0.6904253682679529)}",0.6203333333333333,0.011953614051360749,0.6200594919577608,0.0119185490267894,0.6338299524140232,0.012237893432454659
